,City,Dentist,Dermatologist,GP,Gynécologist,Ophtalmologist,Pédiatrician,Rank,department,thousand_nights_in_hotels,thousand_nights_in_campsites,population,density,rate_60_and_over,median_income,attractiveness_rank,solar_exposure,precipitation,temperature
07132,Largentière,154.0,25.0,89.0,35.0,95.0,,130.0,Ardèche,612.0,4354.0,1598.0,221.3,35.8,17740.0,8980,,,
53130,Laval,180.0,172.0,6.0,82.0,268.0,,168.0,Mayenne,296.0,93.0,49573.0,1448.7,27.0,20340.0,79,,,
72181,Le Mans,175.0,241.0,5.0,117.0,11.0,,101.0,Sarthe,894.0,322.0,143252.0,2712.6,27.3,20210.0,5,1771.8,687.5,12.0
43157,Le Puy-en-Velay,70.0,162.0,8.0,107.0,184.0,,161.0,Haute-Loire,324.0,234.0,19061.0,1135.3,29.5,18970.0,100,,695.2,11.3
30350,Le Vigan,108.0,96.0,5.0,149.0,191.0,,171.0,Gard,1451.0,3420.0,3785.0,219.5,38.2,16630.0,2539,,,
62498,Lens,22.0,46.0,4.0,56.0,247.0,104.0,193.0,Pas-de-Calais,2555.0,799.0,31606.0,2701.4,24.9,15990.0,389,,,
27016,Les Andelys,171.0,222.0,313.0,114.0,8.0,47.0,209.0,Eure,620.0,187.0,8092.0,199.2,26.8,19480.0,2497,,,
85194,Les Sables-d'Olonne,14.0,145.0,80.0,150.0,126.0,207.0,199.0,Vendée,1546.0,9046.0,44355.0,517.8,47.9,22800.0,31,1756.0,884.3,
33240,Lesparre-Médoc,176.0,74.0,22.0,107.0,309.0,106.0,241.0,Gironde,4665.0,5280.0,5804.0,157.0,32.3,18500.0,2394,,984.1,13.3
33243,Libourne,,203.0,5.0,265.0,8.0,117.0,107.0,Gironde,4665.0,5280.0,24511.0,1188.1,28.1,19480.0,560,,,
59350,Lille,131.0,155.0,5.0,38.0,66.0,24.0,80.0,Nord,3868.0,317.0,233098.0,6692.4,14.3,19320.0,91,1617.5,742.5,10.8
87085,Limoges,120.0,57.0,6.0,134.0,292.0,106.0,164.0,Haute-Vienne,706.0,211.0,131479.0,1685.0,27.1,19460.0,26,1899.8,1023.5,11.4
11206,Limoux,26.0,83.0,6.0,,117.0,,98.0,Aude,1111.0,1557.0,10112.0,312.0,36.8,18950.0,2042,,647.7,13.2
14366,Lisieux,183.0,58.0,8.0,24.0,225.0,110.0,148.0,Calvados,3556.0,2163.0,20171.0,1543.3,30.7,17980.0,311,,,
37132,Loches,189.0,230.0,28.0,24.0,134.0,123.0,220.0,Indre-et-Loire,1885.0,689.0,6232.0,230.3,41.5,19810.0,1245,,,
34142,Lodève,99.0,77.0,7.0,,97.0,,115.0,Hérault,3308.0,9364.0,7459.0,321.9,33.9,16560.0,4145,,,
39300,Lons-le-Saunier,103.0,118.0,8.0,78.0,269.0,184.0,178.0,Jura,508.0,1115.0,17320.0,2255.2,32.8,19650.0,162,1910.3,1189.5,11.3
56121,Lorient,22.0,117.0,2.0,168.0,78.0,45.0,28.0,Morbihan,1876.0,4604.0,57084.0,3265.7,27.9,19430.0,5,1827.2,950.9,12.0
71263,Louhans,172.0,,29.0,53.0,447.0,,301.0,Saône-et-Loire,1453.0,553.0,6399.0,283.4,41.1,19740.0,2009,,,
54329,Lunéville,26.0,97.0,86.0,59.0,237.0,187.0,151.0,Meurthe-et-Moselle,1037.0,100.0,18027.0,1103.2,28.5,18150.0,564,,,
70310,Lure,148.0,278.0,8.0,134.0,92.0,78.0,215.0,Haute-Saône,142.0,139.0,8131.0,334.5,29.0,18430.0,1405,,,
