,Communes,Classement
932,CHAPELLE VALLON,30487
933,MARS SOUS BOURCQ,20809
934,THENELLES,16026
935,GROSLEY SUR RISLE,19308
936,CHARMOY,32717
937,LES MAZURES,14287
938,TREFCON,24155
939,GROSSOEUVRE,7602
940,CHARNY LE BACHOT,32813
941,MENIL ANNELLES,27871
942,TRUCY,21308
943,LE BOSC DU THEIL,13621
944,CHAUDREY,32530
945,MONTCHEUTIN,34677
946,TUPIGNY,17287
947,GUERNY,10464
948,LE CHENE,30664
949,MONTHERME,4167
950,URCEL,9613
951,LA HARENGERE,4736
952,CHERVEY,28843
953,MOUZON,8258
954,VADENCOURT,12703
955,HECOURT,13988
956,COLOMBE LA FOSSE,25234
957,LA NEUVILLE AUX JOUTES,14308
958,LA VALLEE MULATRE,10094
959,HEUDICOURT,9761
960,CORMOST,28638
961,NOUVION SUR MEUSE,3615
962,VARISCOURT,25640
963,HONGUEMARE GUENOUVILLE,15336
964,COURCEROY,22920
