,Communes,Classement 
32741,FOUCHECOURT,32196
32742,FRAIZE,7122
32743,GENDREVILLE,28294
32744,GERBEPAL,11152
32745,GIGNEVILLE,30172
32746,GIRECOURT SUR DURBION,15872
32747,GIRMONT VAL D AJOL,8060
32748,LA GRANDE FOSSE,9840
32749,GRIGNONCOURT,33384
32750,GUGNEY AUX AULX,22362
32751,HAREVILLE,8613
32752,HENNECOURT,22171
32753,HERPELMONT,19382
32754,HOUECOURT,22414
32755,LA HOUSSIERE,16758
32756,HYMONT,10772
32757,IGNEY,6546
32758,JEANMENIL,22494
32759,LAVELINE DU HOUX,18566
32760,LEGEVILLE ET BONFAYS,24217
32761,MACONCOURT,30984
32762,MARTIGNY LES BAINS,19200
32763,MENIL EN XAINTOIS,27125
32764,MIRECOURT,3493
32765,MORIZECOURT,31172
32766,LA NEUVEVILLE SOUS CHATENOIS,15905
32767,LA NEUVEVILLE SOUS MONTFORT,20157
32768,NEUVILLERS SUR FAVE,6895
32769,PAREY SOUS MONTFORT,18037
32770,PIERREFITTE,28883
32771,PLAINFAING,18248
32772,PLEUVEZAIN,27779
32773,PLOMBIERES LES BAINS,8702
32774,PLOMBIERES LES BAINS,8702
32775,LES POULIERES,21367
32776,REHAINCOURT,23482
32777,RELANGES,21187
32778,ROLLAINVILLE,7252
32779,LES ROUGES EAUX,12846
32780,ROUVRES EN XAINTOIS,20736
32781,RUPPES,31869
32782,STE BARBE,22230
32783,STE MARGUERITE,1786
32784,ST MAURICE SUR MORTAGNE,22035
32785,ST MAURICE SUR MOSELLE,10096
32786,ST MENGE,18777
32787,SANCHEY,4295
32788,SENONGES,28475
32789,SIONNE,18904
32790,SONCOURT,30960
32791,SOULOSSE SOUS ST ELOPHE,20032
32792,LE SYNDICAT,7913
32793,TENDON,11563
32794,CAPAVENIR VOSGES,2480
32795,CAPAVENIR VOSGES,2480
32796,THIEFOSSE,15401
32797,LE THILLOT,5094
32798,THIRAUCOURT,11239
32799,THUILLIERES,22945
32800,TIGNECOURT,32189
32801,UBEXY,16689
32802,UXEGNEY,2330
32803,VAXONCOURT,8067
32804,VILLOTTE,21906
32805,VIOCOURT,17917
32806,LES VOIVRES,16950
32807,VOUXEY,20428
32808,VOUXEY,20428
32809,VRECOURT,26841
32810,XAFFEVILLERS,24013
32811,XARONVAL,18954
32812,ZINCOURT,16531
32813,MONTHOLON,15084
32814,MONTHOLON,15084
32815,ASQUINS,24939
32816,LA BELLIOLE,27354
32817,BERU,23381
32818,BOEURS EN OTHE,34375
32819,BRANCHES,17105
32820,BUSSIERES,30235
32821,CARISEY,29587
32822,CHARMOY,9089
32823,CHARNY OREE DE PUISAYE,17590
32824,CHARNY OREE DE PUISAYE,17590
32825,CHARNY OREE DE PUISAYE,17590
32826,CHARNY OREE DE PUISAYE,17590
32827,CHARNY OREE DE PUISAYE,17590
32828,CHARNY OREE DE PUISAYE,17590
32829,CHENY,9495
32830,CHICHERY,14634
32831,COURGIS,20807
32832,COUTARNOUX,31425
32833,CRY,30921
32834,CUSSY LES FORGES,22817
32835,ESCOLIVES STE CAMILLE,9738
32836,ETIGNY,10977
32837,LA FERTE LOUPIERE,30265
32838,FLACY,31434
32839,FONTAINES,33090
32840,FONTENAY PRES VEZELAY,32111
32841,FOUCHERES,21636
32842,FULVY,30544
32843,GIVRY,19952
32844,VALRAVILLON,27028
32845,GUILLON TERRE PLAINE,25364
32846,GURGY,4773
32847,LUCY SUR CURE,27974
32848,MARMEAUX,33751
32849,MASSANGIS,30864
32850,MERE,30317
32851,MERRY LA VALLEE,29325
32852,MERRY SEC,33269
32853,MEZILLES,33535
32854,MONTIGNY LA RESLE,22543
32855,NEUVY SAUTOUR,21332
32856,PACY SUR ARMANCON,31934
32857,PAROY SUR THOLON,23145
32858,PASSY,6853
32859,PIFFONDS,27885
32860,PISY,33934
32861,POILLY SUR SEREIN,31661
32862,PONTIGNY,18371
32863,PONT SUR VANNE,30581
32864,PRECY SUR VRIN,29955
32865,ROGNY LES SEPT ECLUSES,31518
32866,ROSOY,11666
32867,RUGNY,33875
32868,SAINPUITS,34301
32869,STE COLOMBE,27604
32870,ST JULIEN DU SAULT,11842
32871,ST MAURICE LE VIEIL,30156
32872,ST MAURICE THIZOUAILLE,30087
32873,ST VALERIEN,16059
32874,SALIGNY,5442
32875,SAUVIGNY LE BEUREAL,30930
32876,SAUVIGNY LE BOIS,8411
32877,SOUGERES EN PUISAYE,33994
32878,SOUMAINTRAIN,30170
32879,STIGNY,32784
32880,SUBLIGNY,12937
32881,LES HAUTS DE FORTERRE,34143
32882,THAROT,22694
32883,THORIGNY SUR OREUSE,25823
32884,TRUCY SUR YONNE,33363
32885,VAUDEURS,31896
32886,VENIZY,26284
32887,VILLEFARGEAU,8900
32888,VILLEMANOCHE,14647
32889,VILLENEUVE LA DONDAGRE,27925
32890,PERCENEIGE,33596
32891,VILLIERS ST BENOIT,33065
32892,VILLIERS VINEUX,26863
32893,VILLON,34500
32894,VINCELOTTES,22049
32895,VOISINES,28412
32896,BEAUCOURT,3088
32897,COURTELEVANT,21095
32898,DANJOUTIN,1421
32899,FAVEROIS,8779
32900,FONTENELLE,6408
32901,FROIDEFONTAINE,7808
32902,GROSNE,7986
32903,JONCHEREY,8179
32904,MONTBOUTON,7702
32905,NOVILLARD,6697
32906,ROMAGNY SOUS ROUGEMONT,13971
32907,ROPPE,5428
32908,THIANCOURT,8563
32909,VESCEMONT,13086
32910,VETRIGNE,3446
32911,ANGERVILLIERS,5104
32912,ATHIS MONS,153
32913,AUTHON LA PLAINE,12513
32914,AVRAINVILLE,3244
32915,BAULNE,8666
32916,BLANDY,23662
32917,BOIGNEVILLE,26678
32918,BOISSY LA RIVIERE,4371
32919,BRIERES LES SCELLES,3094
32920,BROUY,31277
32921,BURES SUR YVETTE,323
32922,CHAUFFOUR LES ETRECHY,7437
32923,DRAVEIL,207
32924,DRAVEIL,207
32925,EPINAY SUR ORGE,325
32926,ETRECHY,2464
32927,FORGES LES BAINS,2647
32928,GUIGNEVILLE SUR ESSONNE,10110
32929,IGNY,485
32930,LEUDEVILLE,2375
32931,LONGJUMEAU,167
32932,LE MEREVILLOIS,7026
32933,MOIGNY SUR ECOLE,9215
32934,MONTLHERY,907
32935,MORSANG SUR ORGE,587
32936,ORVEAU,15808
32937,PARAY VIEILLE POSTE,691
32938,PLESSIS ST BENOIST,27911
32939,PUISELET LE MARAIS,11957
32940,SACLAS,5688
32941,SACLAY,706
32942,ST AUBIN,1658
32943,ST AUBIN,1658
32944,ST CYR SOUS DOURDAN,4509
32945,ST ESCOBILLE,26100
32946,ST PIERRE DU PERRAY,399
32947,ST YON,5067
32948,SAVIGNY SUR ORGE,195
32949,TIGERY,932
32950,VAUHALLAN,1164
32951,VERRIERES LE BUISSON,308
32952,VERT LE PETIT,2871
32953,VILLECONIN,7856
32954,VILLEMOISSON SUR ORGE,834
32955,YERRES,223
32956,BAGNEUX,263
32957,CHATILLON,293
32958,MARNES LA COQUETTE,1426
32959,MEUDON,78
32960,NEUILLY SUR SEINE,63
32961,VAUCRESSON,705
32962,VILLE D AVRAY,421
32963,AULNAY SOUS BOIS,585
32964,BONDY,406
32965,DRANCY,543
32966,LIVRY GARGAN,808
32967,LE RAINCY,928
32968,ROMAINVILLE,809
32969,TREMBLAY EN FRANCE,777
32970,VILLEMOMBLE,638
32971,VILLEPINTE,831
32972,ARCUEIL,273
32973,BRY SUR MARNE,201
32974,LE KREMLIN BICETRE,217
32975,LIMEIL BREVANNES,469
32976,MAROLLES EN BRIE,1115
32977,ORLY,302
32978,PERIGNY,1814
32979,VALENTON,504
32980,VILLECRESNES,806
32981,VILLENEUVE LE ROI,561
32982,AMBLEVILLE,22059
32983,ARNOUVILLE,380
32984,ARTHIES,18657
32985,LE BELLAY EN VEXIN,11275
32986,BESSANCOURT,1202
32987,BETHEMONT LA FORET,3373
32988,BOISSY L AILLERIE,2274
32989,BRIGNANCOURT,8705
32990,BUTRY SUR OISE,2606
32991,CERGY,82
32992,CHAUMONTEL,3475
32993,CHAUVRY,3616
32994,CHERENCE,16774
32995,COMMENY,12578
32996,EAUBONNE,332
32997,FRANCONVILLE,322
32998,GONESSE,351
32999,GOUSSAINVILLE,556
33000,GRISY LES PLATRES,5327
33001,GUIRY EN VEXIN,18305
33002,JAGNY SOUS BOIS,6984
33003,JOUY LE MOUTIER,623
33004,LOUVRES,1187
33005,LUZARCHES,1936
33006,MERY SUR OISE,1150
33007,LE MESNIL AUBRY,3369
33008,MOUSSY,11208
33009,NERVILLE LA FORET,4784
33010,NESLES LA VALLEE,2768
33011,NOISY SUR OISE,4432
33012,PERSAN,1255
33013,PIERRELAYE,1022
33014,PIERRELAYE,1022
33015,LE PLESSIS BOUCHARD,671
33016,PRESLES,2085
33017,PUISEUX EN FRANCE,3110
33018,ROISSY EN FRANCE,900
33019,SARCELLES,146
33020,SURVILLIERS,4704
33021,THEMERICOURT,10237
33022,VILLAINES SOUS BOIS,3139
33023,LES ABYMES,/ 34 837
33024,BAIE MAHAULT,/ 34 837
33025,DESHAIES,/ 34 837
33026,LE MOULE,/ 34 837
33027,STE ANNE,/ 34 837
33028,TERRE DE HAUT,/ 34 837
33029,TROIS RIVIERES,/ 34 837
33030,CASE PILOTE,/ 34 837
33031,DUCOS,/ 34 837
33032,GRAND RIVIERE,/ 34 837
33033,MACOUBA,/ 34 837
33034,LE MARIGOT,/ 34 837
33035,LE MARIN,/ 34 837
33036,STE ANNE,/ 34 837
33037,STE MARIE,/ 34 837
33038,STE MARIE,/ 34 837
33039,ROURA,/ 34 837
33040,OUANARY,/ 34 837
33041,APATOU,/ 34 837
33042,LA POSSESSION,/ 34 837
33043,ST ANDRE,/ 34 837
33044,ST DENIS,/ 34 837
33045,ST DENIS,/ 34 837
33046,ST DENIS,/ 34 837
33047,ST JOSEPH,/ 34 837
33048,ST LEU,/ 34 837
33049,ST LEU,/ 34 837
33050,ST LEU,/ 34 837
33051,ST LOUIS,/ 34 837
33052,ST LOUIS,/ 34 837
33053,ST PAUL,/ 34 837
33054,ST PAUL,/ 34 837
33055,ST PAUL,/ 34 837
33056,ST PAUL,/ 34 837
33057,ST PIERRE,/ 34 837
33058,LE TAMPON,/ 34 837
33059,CILAOS,/ 34 837
33060,MIQUELON LANGLADE,/ 34 837
33061,BANDRABOUA,/ 34 837
33062,BANDRELE,/ 34 837
33063,MAMOUDZOU,/ 34 837
33064,MAMOUDZOU,/ 34 837
33065,ANAA,/ 34 837
33066,FAKARAVA,/ 34 837
33067,FANGATAU,/ 34 837
33068,FANGATAU,/ 34 837
33069,FATU HIVA,/ 34 837
33070,GAMBIER,/ 34 837
33071,GAMBIER,/ 34 837
33072,GAMBIER,/ 34 837
33073,HAO,/ 34 837
33074,HITIAA O TE RA,/ 34 837
33075,HUAHINE,/ 34 837
33076,HUAHINE,/ 34 837
33077,HUAHINE,/ 34 837
33078,MAKEMO,/ 34 837
33079,MAUPITI,/ 34 837
33080,MOOREA MAIAO,/ 34 837
33081,MOOREA MAIAO,/ 34 837
33082,MOOREA MAIAO,/ 34 837
33083,NUKU HIVA,/ 34 837
33084,NUKU HIVA,/ 34 837
33085,NUKU HIVA,/ 34 837
33086,NUKU HIVA,/ 34 837
33087,PUKAPUKA,/ 34 837
33088,RANGIROA,/ 34 837
33089,RAPA,/ 34 837
33090,RAPA,/ 34 837
33091,RURUTU,/ 34 837
33092,TAHAA,/ 34 837
33093,TAHAA,/ 34 837
33094,TAHAA,/ 34 837
33095,TAIARAPU EST,/ 34 837
33096,TAKAROA,/ 34 837
33097,TUMARAA,/ 34 837
33098,UA POU,/ 34 837
33099,BELEP,/ 34 837
33100,BOURAIL,/ 34 837
33101,DUMBEA,/ 34 837
33102,DUMBEA,/ 34 837
33103,HOUAILOU,/ 34 837
33104,KONE,/ 34 837
33105,KOUMAC,/ 34 837
33106,LE MONT DORE,/ 34 837
33107,OUVEA,/ 34 837
33108,POUM,/ 34 837
33109,VOH,/ 34 837
33110,KOUAOUA,/ 34 837
33111,NEUVE MAISON,6687
33112,LA NEUVILLE EN BEINE,12720
33113,NIZY LE COMTE,34071
33114,NOROY SUR OURCQ,28956
33115,OGNES,4066
33116,OIGNY EN VALOIS,17377
33117,ORAINVILLE,21701
33118,OULCHY LE CHATEAU,25884
33119,PAARS,29096
33120,PANCY COURTECON,28613
33121,PARFONDEVAL,32197
33122,PASSY EN VALOIS,24173
33123,PASSY SUR MARNE,18779
33124,PAVANT,10400
33125,PIGNICOURT,29561
33126,LE PLESSIER HULEU,31041
33127,PONTAVERT,30281
33128,PONT ST MARD,22195
33129,PUISEUX EN RETZ,25453
33130,QUINCY SOUS LE MONT,21411
33131,RENANSART,28671
33132,RESIGNY,32295
33133,RETHEUIL,21259
33134,ROCQUIGNY,10202
33135,ROUCY,31331
33136,ROUVROY,2895
33137,ROUVROY SUR SERRE,32390
33138,ROZET ST ALBIN,29091
33139,ROZOY BELLEVALLE,25944
33140,ST AUBIN,27830
33141,ST GENGOULPH,26721
33142,ST MICHEL,5508
33143,ST PIERREMONT,32550
33144,ST THOMAS,25925
33145,SAMOUSSY,13764
33146,SAVY,7468
33147,SEPTMONTS,8328
33148,SEPTVAUX,20172
33149,SEQUEHART,21584
33150,SERGY,25522
33151,SOUCY,28036
33152,TERGNIER,1959
33153,THENAILLES,22934
33154,THIERNU,27059
33155,TOULIS ET ATTENCOURT,31827
33156,URVILLERS,5620
33157,VAUXREZIS,12246
33158,VAUX ANDIGNY,6017
33159,VAUXBUIN,3527
33160,VENDELLES,18089
33161,VENDHUILE,21720
33162,VENDRESSE BEAULNE,29896
33163,VERVINS,8724
33164,VESLUD,13500
33165,VEZAPONIN,30537
33166,VIELS MAISONS,27203
33167,VILLERS SUR FERE,23443
33168,VILLE SAVOYE,22163
33169,VORGES,14032
33170,WASSIGNY,6027
33171,WIEGE FATY,28743
33172,ABREST,1477
33173,AGONGES,23516
33174,ANDELAROCHE,32771
33175,AUBIGNY,32251
33176,AUROUER,14325
33177,AVERMES,1675
33178,BEGUES,13400
33179,BELLENAVES,18596
33180,BELLERIVE SUR ALLIER,837
33181,BESSAY SUR ALLIER,22858
33182,BESSON,23760
33183,BLOMARD,23562
33184,LE BOUCHAUD,31741
33185,BOURBON L ARCHAMBAULT,14806
33186,BUSSET,11397
33187,LA CELLE,25021
33188,CHAREIL CINTRAT,27000
33189,CHATEL DE NEUVRE,30932
33190,CHAVROCHES,29660
33191,CHAZEMAIS,29855
33192,CHEMILLY,13490
33193,CHEZELLE,24030
33194,CHOUVIGNY,30773
33195,COGNAT LYONNE,12565
33196,COSNE D ALLIER,18538
33197,COURCAIS,29558
33198,COUTANSOUZE,30486
33199,CREUZIER LE NEUF,4027
33200,DESERTINES,1610
33201,DOMPIERRE SUR BESBRE,6420
33202,LE DONJON,17741
33203,DROITURIER,31690
33204,ETROUSSAT,25081
33205,HERISSON,28835
33206,HYDS,25671
33207,LAPALISSE,10814
33208,LODDES,33133
33209,MARIOL,10746
33210,LE MAYET D ECOLE,19859
33211,MEILLARD,33896
33212,MERCY,32825
33213,MESPLES,34098
33214,MONESTIER,32035
33215,MONTBEUGNY,19240
33216,RONGERES,18747
33217,ST CHRISTOPHE,22088
33218,ST DESIRE,32371
33219,ST ELOY D ALLIER,33891
33220,ST GERAND DE VAUX,28080
33221,ST HILAIRE,31340
33222,ST LEOPARDIN D AUGY,33418
33223,ST MARTIN DES LAIS,33342
33224,SANSSAT,15318
33225,SAULCET,14766
33226,SAZERET,26439
33227,SERBANNES,3909
33228,SERVILLY,23591
33229,SORBIER,33603
33230,SOUVIGNY,18027
33231,SUSSAT,25922
33232,TREBAN,32277
33233,URCAY,28026
33234,VERNUSSE,30279
33235,LE VEURDRE,26756
33236,VILLEBRET,6296
33237,VILLENEUVE SUR ALLIER,14676
33238,YZEURE,1331
33239,ANGLES,33190
33240,AUZET,33695
33241,BANON,21077
33242,BARREME,27628
33243,BAYONS,34560
33244,BELLAFFAIRE,32573
33245,UBAYE SERRE PONCON,979
33246,CASTELLANE,12411
33247,LE CASTELLET,20865
33248,CLUMANC,32010
33249,CORBIERES EN PROVENCE,7458
33250,ESTOUBLON,33244
33251,LA GARDE,33212
33252,LARDIERS,31248
33253,MAJASTRES,34383
33254,MALIJAI,21760
33255,MALLEMOISSON,19644
33256,VAL D ORONAYE,34631
33257,MONTAGNAC MONTPEZAT,32716
33258,MONTAGNAC MONTPEZAT,32716
33259,MONTFORT,24058
33260,MONTLAUX,33094
33261,LA MURE ARGENS,33638
33262,LA PALUD SUR VERDON,1028
33263,PEYROULES,33031
33264,PONTIS,958
33265,MEOLANS REVEL,30725
33266,REVEST DU BION,33951
33267,REVEST ST MARTIN,30008
33268,LA ROCHETTE,24247
33269,STE CROIX A LAUZE,30520
33270,HAUTES DUYES,32259
33271,ST ETIENNE LES ORGUES,27618
33272,ST JULIEN DU VERDON,32047
33273,SALIGNAC,15450
33274,SAUSSES,33979
33275,SELONNET,26213
33276,SENEZ,33188
33277,SEYNE,14008
33278,SIMIANE LA ROTONDE,28265
33279,SOURRIBES,26001
33280,THOARD,26115
33281,THORAME HAUTE,34416
33282,THORAME HAUTE,34416
33283,UBRAYE,34113
33284,UVERNET FOURS,19223
33285,VALERNES,24232
33286,ARVIEUX,30386
33287,BRIANCON,408
33288,BUISSARD,18211
33289,CERVIERES,30437
33290,CHAMPOLEON,31969
33291,CHANOUSSE,31343
33292,CHATEAUROUX LES ALPES,20833
33293,AUBESSAGNE,24588
33294,AUBESSAGNE,24588
33295,CHORGES,623
33296,CROTS,732
33297,EMBRUN,298
33298,GARDE COLOMBE,10885
33299,LA FARE EN CHAMPSAUR,4801
33300,FREISSINIERES,28097
33301,FURMEYER,15811
33302,LE GLAIZIL,28597
33303,LA HAUTE BEAUME,34600
33304,MONETIER ALLEMONT,27136
33305,MONTBRAND,33611
33306,MONT DAUPHIN,23412
33307,MONTJAY,34636
33308,MONTMAUR,14877
33309,MOYDANS,34151
33310,NEFFES,5568
33311,NEVACHE,32398
33312,LES ORRES,25131
33313,RABOU,10028
33314,ST AUBAN D OZE,27533
33315,ST CHAFFREY,3366
33316,ST CLEMENT SUR DURANCE,30125
33317,ST PIERRE D ARGENCON,31586
33318,ST VERAN,34529
33319,LA SALLE LES ALPES,3664
33320,LE SAUZE DU LAC,980
33321,SAVINES LE LAC,619
33322,SAVOURNON,27800
33323,SIGOTTIER,23949
33324,TRESCLEOUX,26021
33325,VENTAVON,21799
33326,LES VIGNEAUX,13310
33327,BENDEJUN,5287
33328,BEUIL,31453
33329,BIOT,523
33330,BLAUSASC,3293
33331,BOUYON,12914
33332,CANNES,13
33333,LE CANNET,333
33334,LE CANNET,333
33335,CASTAGNIERS,2367
33336,CIPIERES,26900
33337,COLOMARS,1645
33338,CONSEGUDES,26435
33339,EZE,195
33340,LIEUCHE,33749
33341,LUCERAM,21925
33342,MANDELIEU LA NAPOULE,51
33343,LE MAS,34256
33344,MASSOINS,31811
33345,NICE,4
33346,PEILLE,3656
33347,PUGET ROSTANG,24090
33348,RIGAUD,30785
33349,ROQUEBRUNE CAP MARTIN,122
33350,ROQUEBRUNE CAP MARTIN,122
33351,ROQUESTERON,21555
33352,ST ANTONIN,26014
33353,ST BLAISE,5009
33354,ST ETIENNE DE TINEE,18113
33355,ST JEAN CAP FERRAT,222
33356,ST MARTIN DU VAR,3067
33357,ST MARTIN VESUBIE,15703
33358,ST SAUVEUR SUR TINEE,27654
33359,SALLAGRIFFON,31664
33360,THEOULE SUR MER,133
33361,TOUET SUR VAR,20884
33362,TOURNEFORT,30497
33363,TOURRETTES SUR LOUP,3434
33364,VALLAURIS,42
33365,VILLENEUVE D ENTRAUNES,34655
33366,AILHON,14291
33367,ANNONAY,1312
33368,ARLEBOSC,17011
33369,BEAUMONT,28779
33370,BOGY,9771
33371,BOZAS,18658
33372,BROSSAINC,9620
33373,CHAMBONAS,16154
33374,CHAMPAGNE,10445
33375,CHANDOLAS,23844
33376,CHARMES SUR RHONE,2971
33377,CHASSIERS,10861
33378,CHATEAUBOURG,6334
33379,CHAZEAUX,21019
33380,CHEMINAS,20312
33381,CHOMERAC,7972
33382,COLOMBIER LE VIEUX,18148
33383,LE CRESTET,15940
33384,CRUAS,13375
33385,DOMPNAC,32647
33386,DUNIERE SUR EYRIEUX,18421
33387,EMPURANY,17829
33388,FLAVIAC,10661
33389,FONS,8965
33390,LABEAUME,18117
33391,LACHAMP RAPHAEL,34153
33392,LAMASTRE,9268
33393,MALARCE SUR LA THINES,33463
33394,MALARCE SUR LA THINES,33463
33395,MALBOSC,27107
33396,MERCUER,7002
33397,MONTREAL,16357
33398,LES OLLIERES SUR EYRIEUX,5616
33399,OZON,10592
33400,PLATS,9924
33401,ROMPON,11178
33402,ST ALBAN D AY,11655
33403,ST ALBAN EN MONTAGNE,23429
33404,ST ALBAN AURIOLLES,16623
33405,ST ANDEOL DE BERG,16461
33406,ST ANDRE DE CRUZIERES,25457
33407,ST APOLLINAIRE DE RIAS,24087
33408,ST CIERGE SOUS LE CHEYLARD,15870
33409,ST CYR,9162
33410,ST GINEYS EN COIRON,24633
33411,ST JEURE D ANDAURE,28555
33412,ST JULIEN LE ROUX,19874
33413,ST JULIEN VOCANCE,31845
33414,ST LAURENT BAINS LAVAL D AURELLE,33172
33415,ST MARCEL LES ANNONAY,5585
33416,STE MARGUERITE LAFIGERE,29441
33417,ST MARTIN SUR LAVEZON,26650
33418,ST MARTIN SUR LAVEZON,26650
33419,ST PAUL LE JEUNE,16458
33420,ST PERAY,1283
33421,ST PIERRE ST JEAN,32144
33422,ST PONS,23024
33423,ST PRIVAT,5856
33424,ST PRIX,27393
33425,ST SYMPHORIEN DE MAHUN,17650
33426,SOYONS,1932
33427,TAURIERS,16005
33428,LE TEIL,2055
33429,TOULAUD,5253
33430,UZER,16695
33431,VALGORGE,31438
33432,LES VANS,6090
33433,VESSEAUX,11007
33434,VOCANCE,13926
33435,VOGUE,9358
33436,ALLAND HUY ET SAUSSEUIL,24085
33437,ANTHENY,30205
33438,APREMONT,34390
33439,LES GRANDES ARMOISES,33539
33440,LES PETITES ARMOISES,33743
33441,ARREUX,9086
33442,AUBONCOURT VAUZELLES,21283
33443,AUVILLERS LES FORGES,30060
33444,AVANCON,28910
33445,BAALONS,31147
33446,BLANCHEFOSSE ET BAY,32181
33447,BOULT AUX BOIS,33986
33448,BOULZICOURT,6534
33449,BREVILLY,15079
33450,BRIQUENAY,34045
33451,CERNION,32776
33452,CHAGNY,33558
33453,CHARNOIS,17028
33454,CHATEAU PORCIEN,21147
33455,CHESNOIS AUBONCOURT,29844
33456,CHILLY,28834
33457,DAMOUZY,3259
33458,DOUZY,5728
33459,DOUZY,5728
33460,L ECHELLE,29384
33461,FLIZE,12009
33462,FOSSE,33372
33463,FRAILLICOURT,34199
33464,FROMELENNES,16607
33465,FROMELENNES,16607
33466,GIRONDELLE,31314
33467,GIVET,5206
33468,GOMONT,33151
33469,GRIVY LOISY,21825
33470,HAM LES MOINES,10019
33471,HARAUCOURT,11129
33472,HARRICOURT,33933
33473,HAUDRECY,9611
33474,LES HAUTES RIVIERES,18435
33475,LES HAUTES RIVIERES,18435
33476,LA HORGNE,29544
33477,ISSANCOURT ET RUMEL,5252
33478,JANDUN,30348
33479,JOIGNY SUR MEUSE,4393
33480,LALOBBE,30320
33481,LANCON,34648
33482,LAUNOIS SUR VENCE,26690
33483,LETANNE,27034
33484,LOGNY BOGNY,31712
33485,LONGWE,33054
33486,LONNY,16046
33487,MAISONCELLE ET VILLERS,27473
33488,MARGUT,23194
33489,MARLEMONT,32060
33490,MOGUES,30755
33491,LA MONCELLE,5714
33492,MONTMEILLANT,33806
33493,NEUFMANIL,5486
33494,LA NEUVILLE A MAIRE,32017
33495,NEUVILLE LEZ BEAULIEU,24831
33496,LA NEUVILLE EN TOURNE A FUY,32071
33497,LA NEUVILLE LES WASIGNY,32286
33498,NOIRVAL,31666
33499,NOVION PORCIEN,17724
33500,NOYERS PONT MAUGIS,5108
33501,PRIX LES MEZIERES,1847
33502,RANCENNES,16734
33503,RAUCOURT ET FLABA,15809
33504,ROCQUIGNY,31891
33505,ROCQUIGNY,31891
33506,ROCQUIGNY,31891
33507,ROCROI,8362
33508,RUBIGNY,33303
33509,SACHY,13271
33510,ST CLEMENT A ARNES,33904
33511,ST JEAN AUX BOIS,32235
33512,ST LOUP TERRIER,33314
33513,ST MARCEL,23201
33514,ST PIERRE SUR VENCE,9565
33515,ST QUENTIN LE PETIT,34541
33516,SAPOGNE ET FEUCHERES,19771
33517,SAULT LES RETHEL,8498
33518,SECHEVAL,12462
33519,SEDAN,607
33520,SEVIGNY WALEPPE,34288
33521,SIGNY L ABBAYE,20597
33522,SINGLY,19313
33523,SURY,9391
33524,TAILLY,32783
33525,TANNAY,34259
33526,LE THOUR,33439
33527,TOURCELLES CHAUMONT,32486
33528,VAUX LES MOURON,34388
33529,VILLERS DEVANT MOUZON,19511
33530,VILLERS SUR LE MONT,19400
33531,VIREUX WALLERAND,18369
33532,VONCQ,31687
33533,VOUZIERS,10470
33534,VRIGNE AUX BOIS,3560
33535,VRIGNE MEUSE,8225
33536,WASIGNY,30962
33537,YONCQ,25817
33538,ALOS,30340
33539,ANTRAS,34788
33540,ARIGNAC,12915
33541,ARNAVE,15599
33542,ARTIX,17622
33543,AULUS LES BAINS,34477
33544,LA BASTIDE DE LORDAT,20715
33545,BEDEILLE,26965
33546,BEZAC,7995
33547,BONAC IRAZEIN,34819
33548,LES BORDES SUR ARIZE,26462
33549,BORDES UCHENTEIN,34419
33550,BOUAN,26087
33551,BURRET,28000
33552,CAPOULET ET JUNAC,29103
33553,CARCANIERES,34235
33554,CARLA BAYLE,21818
33555,CASTERAS,27233
33556,CAZENAVE SERRES ET ALLENS,28860
33557,CHATEAU VERDUN,29340
33558,CONTRAZY,29720
33559,COUFLENS,34771
33560,COUFLENS,34771
33561,DUN,28095
33562,ENGOMER,18606
33563,ESCOSSE,18690
33564,ESPLAS DE SEROU,33083
33565,FERRIERES SUR ARIEGE,4788
33566,FOIX,878
33567,FREYCHENET,29852
33568,GABRE,23464
33569,GAUDIES,23888
33570,GENAT,19780
33571,GESTIES,34685
33572,GUDAS,12113
33573,L HERM,13828
33574,JUSTINIAC,24059
33575,LACAVE,22431
33576,LAPEGE,29801
33577,LAPENNE,27663
33578,LAROQUE D OLMES,5797
33579,LAVELANET,1868
33580,LISSAC,18571
33581,MANSES,18701
33582,MAZERES,7650
33583,MERCENAC,21296
33584,MERCUS GARRABET,12074
33585,MONTAILLOU,32316
33586,MONTEGUT EN COUSERANS,15516
33587,MONTGAUCH,13478
33588,MONTOULIEU,11704
33589,NALZEN,20796
33590,ORNOLAC USSAT LES BAINS,17773
33591,ORUS,28928
33592,LE PLA,33712
33593,LE PORT,31860
33594,PRADETTES,13046
33595,PRAYOLS,5934
33596,RAISSAC,9332
33597,ROQUEFORT LES CASCADES,20051
33598,ROUZE,34453
33599,STE CROIX VOLVESTRE,15773
33600,ST FELIX DE TOURNEGAT,25927
33601,ST JEAN DE VERGES,7327
33602,ST QUIRC,16457
33603,ST VICTOR ROUZAUD,18567
33604,SEIX,30894
33605,SENCONAC,29300
33606,LORP SENTARAILLE,10132
33607,SIGUER,34742
33608,TREMOULET,22246
33609,UNAC,30734
33610,UNZENT,20176
33611,USTOU,34147
33612,VARILHES,3696
33613,VERNAUX,32384
33614,AILLEVILLE,12264
33615,AIX VILLEMAUR PALIS,20422
33616,AIX VILLEMAUR PALIS,20422
33617,ARREMBECOURT,33861
33618,AVANT LES MARCILLY,26531
33619,AVANT LES RAMERUPT,33234
33620,BAILLY LE FRANC,33644
33621,BAR SUR AUBE,2450
